"Point","X","Y","Z"
"261","268.5902","422.1301","0"
"262","256.3725","429.6603","0"
"263","243.9434","436.8363","0"
"264","231.3131","443.6517","0"
"265","218.4917","450.1006","0"
"266","205.4898","456.1771","0"
"267","192.3179","461.8758","0"
"268","178.9869","467.1918","0"
"269","165.5079","472.1204","0"
"270","151.8921","476.6574","0"
"271","138.1508","480.799","0"
"272","124.2955","484.5418","0"
"273","110.3381","487.8832","0"
"274","96.2901","490.8209","0"
"275","82.1634","493.3533","0"
"276","67.9698","495.4793","0"
"277","53.7213","497.1984","0"
"278","39.4296","498.5109","0"
"279","25.1065","499.4187","0"
"280","10.7635","499.9219","0"
"281","-3.5881","500.0217","0"
"282","-17.9367","499.7196","0"
"283","-32.2712","499.0145","0"
"284","-46.5801","497.9045","0"
"285","-60.8516","496.3883","0"
"286","-75.074","494.4655","0"
"287","-89.2355","492.1361","0"
"288","-103.3243","489.4009","0"
"289","-117.3285","486.2611","0"
"290","-131.2363","482.7188","0"
"291","-145.036","478.7765","0"
"292","-158.716","474.4371","0"
"293","-172.265","469.7042","0"
"294","-185.6715","464.5817","0"
"295","-198.9245","459.0742","0"
"296","-212.013","453.1864","0"
"297","-224.9263","446.9235","0"
"298","-237.6537","440.2912","0"
"299","-250.1851","433.2953","0"
"300","-262.509","425.9401","0"
"301","-274.6154","418.2322","0"
"302","-286.4956","410.18","0"
"303","-298.14","401.7905","0"
"304","-309.5393","393.071","0"
"305","-320.6845","384.0288","0"
"306","-331.5664","374.6715","0"
"307","-342.1765","365.007","0"
"308","-352.506","355.0432","0"
"309","-362.5448","344.7864","0"
"310","-372.2846","334.2454","0"
"311","-381.7191","323.4303","0"
"312","-390.8405","312.3499","0"
"313","-399.6411","301.013","0"
"314","-408.1134","289.4288","0"
"315","-416.2503","277.6065","0"
"316","-424.0446","265.5556","0"
"317","-431.4896","253.2857","0"
"318","-438.5774","240.8061","0"
"319","-445.3009","228.1265","0"
"320","-451.6564","215.2585","0"
"321","-457.6383","202.2127","0"
"322","-463.2411","188.9997","0"
"323","-468.46","175.6305","0"
"324","-473.2906","162.116","0"
"325","-477.7285","148.4676","0"
"326","-481.7704","134.6967","0"
"327","-485.4128","120.8148","0"
"328","-488.6534","106.8336","0"
"329","-491.4899","92.7649","0"
"330","-493.9209","78.6205","0"
"331","-495.9455","64.4122","0"
"332","-497.5635","50.1519","0"
"333","-498.7752","35.8513","0"
"334","-499.5816","21.5221","0"
"335","-499.9835","7.1759","0"
"336","-499.983","-7.1759","0"
"337","-499.5816","-21.5221","0"
"338","-498.7763","-35.8514","0"
"339","-497.5656","-50.1521","0"
"340","-495.9484","-64.4126","0"
"341","-493.9242","-78.621","0"
"342","-491.4934","-92.7656","0"
"343","-488.6569","-106.8344","0"
"344","-485.4162","-120.8156","0"
"345","-481.7734","-134.6975","0"
"346","-477.7311","-148.4684","0"
"347","-473.2925","-162.1166","0"
"348","-468.4612","-175.6309","0"
"349","-463.2414","-188.9998","0"
"350","-457.6376","-202.2124","0"
"351","-451.6548","-215.2578","0"
"352","-445.2983","-228.1251","0"
"353","-438.5736","-240.804","0"
"354","-431.4869","-253.2841","0"
"355","-424.0444","-265.5554","0"
"356","-416.2525","-277.608","0"
"357","-408.1169","-289.4313","0"
"358","-399.6432","-301.0146","0"
"359","-390.8413","-312.3506","0"
"360","-381.7187","-323.43","0"
"361","-372.283","-334.244","0"
"362","-362.542","-344.7838","0"
"363","-352.5038","-355.041","0"
"364","-342.1766","-365.0072","0"
"365","-331.5687","-374.6742","0"
"366","-320.6868","-384.0316","0"
"367","-309.5406","-393.0726","0"
"368","-298.1403","-401.7909","0"
"369","-286.495","-410.1791","0"
"370","-274.614","-418.23","0"
"371","-262.5069","-425.9367","0"
"372","-250.1834","-433.2924","0"
"373","-237.6534","-440.2906","0"
"374","-224.9271","-446.9252","0"
"375","-212.0148","-453.1902","0"
"376","-198.9261","-459.0779","0"
"377","-185.6727","-464.5846","0"
"378","-172.2658","-469.7063","0"
"379","-158.7165","-474.4386","0"
"380","-145.0363","-478.7774","0"
"381","-131.2364","-482.7194","0"
"382","-117.3285","-486.2614","0"
"383","-103.3243","-489.4011","0"
"384","-89.2356","-492.1364","0"
"385","-75.0741","-494.4661","0"
"386","-60.8517","-496.3895","0"
"387","-46.5802","-497.9065","0"
"388","-32.2714","-499.0178","0"
"389","-17.9368","-499.7218","0"
"390","-3.5881","-500.0226","0"
"391","10.7635","-499.9229","0"
"392","25.1067","-499.4218","0"
"393","39.43","-498.516","0"
"394","53.7217","-497.2015","0"
"395","67.9701","-495.481","0"
"396","82.1635","-493.3542","0"
"397","96.2902","-490.8214","0"
"398","110.3382","-487.8836","0"
"399","124.2958","-484.5426","0"
"400","138.1512","-480.8004","0"
"401","151.8928","-476.6598","0"
"402","165.5092","-472.124","0"
"403","178.9886","-467.1962","0"
"404","192.3193","-461.8793","0"
"405","205.4909","-456.1795","0"
"406","218.4924","-450.1019","0"
"407","231.3132","-443.652","0"
"408","243.9429","-436.8354","0"
"409","256.3713","-429.6583","0"
"410","268.5882","-422.1269","0"
"411","280.5838","-414.2478","0"
"412","292.3486","-406.028","0"
"413","303.8731","-397.4744","0"
"414","315.1471","-388.5933","0"
"415","326.1602","-379.3906","0"
"416","336.9057","-369.8769","0"
"417","347.3749","-360.06","0"
"418","357.5592","-349.9478","0"
"419","367.4504","-339.5488","0"
"420","377.0403","-328.8714","0"
"421","386.3211","-317.9241","0"
"422","395.285","-306.7158","0"
"423","403.9217","-295.2534","0"
"424","412.2253","-283.5476","0"
"425","420.1899","-271.6085","0"
"426","427.8086","-259.4458","0"
"427","435.0746","-247.0692","0"
"428","441.9816","-234.4888","0"
"429","448.5235","-221.7146","0"
"430","454.6944","-208.7572","0"
"431","460.4888","-195.627","0"
"432","465.9017","-182.335","0"
"433","470.9282","-168.8921","0"
"434","475.564","-155.3095","0"
"435","479.804","-141.5982","0"
"436","483.646","-127.77","0"
"437","487.0875","-113.8368","0"
"438","490.1263","-99.8103","0"
"439","492.7605","-85.7022","0"
"440","494.989","-71.5243","0"
"441","496.8111","-57.2885","0"
"442","498.2245","-43.0063","0"
"443","499.2328","-28.6898","0"
"444","499.8376","-14.3506","0"
"445","500.0391","0","0"
"446","0","-490.0378","0"
"447","-14.392","-489.8308","0"
"448","-28.7722","-489.2106","0"
"449","-43.1284","-488.1752","0"
"450","-57.4485","-486.7234","0"
"451","-71.7201","-484.8545","0"
"452","-85.9308","-482.5676","0"
"453","-100.0679","-479.863","0"
"454","-114.1191","-476.7432","0"
"455","-128.0722","-473.2103","0"
"456","-141.9149","-469.267","0"
"457","-155.6351","-464.9166","0"
"458","-169.2207","-460.1628","0"
"459","-182.6601","-455.0099","0"
"460","-195.9416","-449.4627","0"
"461","-209.0538","-443.5261","0"
"462","-221.9825","-437.2001","0"
"463","-234.7193","-430.4961","0"
"464","-247.2535","-423.4204","0"
"465","-259.5744","-415.9798","0"
"466","-271.6718","-408.1808","0"
"467","-283.5354","-400.0306","0"
"468","-295.1511","-391.5308","0"
